"VideoAnalysis: Time (s)","VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X Velocity","VideoAnalysis: Y Velocity"
0,136.69140625,170.71484375,-5.14583333333,0.489583333333
0.333268229167,136.69140625,170.71484375,-10.1546308522,-13.9433047904
0.666666666667,122.1171875,181.54296875,2.76590416795,-66.5701227976
1,149.5390625,141.16796875,-10.6562781813,-146.858051051
1.33326822917,108.640625,72.99609375,-12.9833984375,-197.159830729
1.66666666667,138.1328125,-29.09765625,-13.9875479407,-143.51503537
2,125.79296875,-15.15625,-80.7271654676,-98.2698943349
2.33326822917,72.51953125,-72.71484375,-112.529622396,-103.139322917
2.66666666667,30.98046875,-105.6640625,-87.7854487245,-57.5964296035
3,4.359375,-109.5234375,-25.8182690218,-13.5808559854
3.33326822917,12.91796875,-108.828125,41.8372395833,19.173828125
3.66666666667,36.73046875,-107.98046875,90.470004942,70.969699554
4,85.9140625,-43.85546875,94.4444861521,81.2341584722
4.33326822917,118.42578125,-41.94140625,45.14453125,70.9895833333
4.66666666667,117.50390625,-41.48046875,-11.0436901463,169.036748293
5,88.62109375,68.84375,-10.7973394471,261.828971266
5.33326822917,114.671875,191.19921875,-14.876953125,200.320638021
5.66666666667,86.14453125,218.29296875,-32.7165607543,84.5434918267
6,78.67578125,223.10546875,-15.8292092595,24.638309405
6.33326822917,78.67578125,223.10546875,-7.232421875,4.97721354167
6.66666666667,78.67578125,223.10546875,-8.88523622645,4.27008560976
7,73.87890625,225.47265625,-15.1632892581,6.80507092575
7.33326822917,64.6796875,229.38671875,-11.7184244792,5.10611979167
7.66666666667,64.6796875,229.38671875,-4.08086397511,1.80930382699
8,64.6796875,229.38671875,-4.11599796452,1.68560314893
8.33326822917,62.8359375,230.30859375,-7.40494791667,2.44140625
8.66666666667,62.8359375,230.30859375,-18.3994231061,5.01537211965
9,46.61328125,234.63671875,-18.5742015204,4.84401134044
9.33326822917,46.61328125,234.63671875,-8.36328125,2.3798828125
9.66666666667,44.078125,234.87109375,-4.93542282311,3.34774203971
10,44.078125,234.87109375,-5.02518748156,9.44483358075
10.3332682292,41.56640625,243.0703125,-8.76822916667,10.8369140625
10.6666666667,41.56640625,243.0703125,-23.4328814765,9.03294897297
11,24.05859375,248.875,-33.6961750534,7.01890730596
11.3332682292,24.05859375,248.875,-54.1549479167,2.17252604167
11.6666666667,-19.5,249.015625,-53.1671036997,0.977217453431
12,-19.5,249.015625,-29.2167677919,1.1556597154
12.3332682292,-33.06640625,250.0390625,-18.4612630208,1.1396484375
12.6666666667,-33.06640625,250.0390625,-5.0600811413,0.41798405722
13,-33.06640625,250.0390625,-2.87835368771,0.334975005982
13.3332682292,-34.6796875,250.26953125,-1.86295572917,-0.0729166666667
13.6666666667,-34.6796875,250.26953125,-0.998734491863,-1.21358611006
14,-34.6796875,250.26953125,-1.63257139006,-4.17471546948
14.3332682292,-36.0625,246.3984375,-1.498046875,-4.19368489583
